RoutesID,Origin_Location,Destination_Location,Market/Regular ,Planned_ETA,TRANSPORTATION_DISTANCE_IN_KM
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 23:08,3
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 15:14,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 15:06,110
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 15:18,70
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 18:33,29
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 14:51,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 14:58,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 14:58,110
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 19:13,310
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 22:40,15
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/31/2020 1:09,300
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/31/2020 1:27,300
,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 13:12,20
,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 13:12,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 4:13,660
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Regular,8/31/2020 3:45,175
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 21:44,585
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/31/2020 1:40,170
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 4:26,585
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/31/2020 3:51,240
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/31/2020 3:28,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 0:31,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 19:06,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 20:41,103
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 0:59,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 3:11,103
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/29/2020 2:44,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 18:12,940
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Regular,8/29/2020 22:14,175
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 21:12,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 22:14,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 11:38,61
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 4:19,21
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Regular,8/30/2020 19:29,175
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 17:24,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 12:17,3
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/30/2020 21:32,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 22:23,20
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Regular,8/30/2020 19:35,175
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Regular,8/30/2020 20:04,175
,"WABCO INDIA LTD-AMBATTUR,CHENNAI,TAMIL NADU","WABCO INDIA LTD,HOSUR,TAMIL NADU",Regular,8/30/2020 21:23,325
,"WABCO INDIA LTD-AMBATTUR,CHENNAI,TAMIL NADU","WABCO INDIA LTD,HOSUR,TAMIL NADU",Regular,8/30/2020 21:24,325
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU",Regular,8/29/2020 14:15,570
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 17:31,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 13:48,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 1:10,15
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 6:20,3
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 16:59,20
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 19:36,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 19:34,110
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 15:15,103
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 13:06,585
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/29/2020 23:54,170
,"ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",Regular,8/30/2020 18:55,365
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/30/2020 0:51,170
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 16:33,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 21:25,104
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 23:13,585
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 18:14,110
,"ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",Market,8/25/2020 16:46,365
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",Regular,8/30/2020 13:30,560
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 16:11,103
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",Regular,8/30/2020 13:27,560
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 17:43,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 14:59,69
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Market,8/30/2020 0:47,270
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 16:30,103
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 16:01,3
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 3:59,29
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 15:15,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 14:57,110
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Market,8/30/2020 15:22,310
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 15:15,110
,"Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Regular,8/24/2020 18:11,400
,"Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Regular,8/28/2020 15:56,400
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 15:02,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 15:03,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 15:10,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 14:59,110
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 20:32,70
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/26/2020 5:47,585
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 13:55,110
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/28/2020 20:18,320
,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 12:59,20
,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 13:22,20
,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 13:23,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 0:39,3
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 5:45,720
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 6:46,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 18:49,61
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 3:00,20
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/29/2020 6:17,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 1:33,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 20:28,3
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/30/2020 0:46,170
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 1:23,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 19:20,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 14:07,29
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/26/2020 18:28,931
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 5:42,103
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/24/2020 18:12,525
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Market,8/30/2020 0:41,270
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 5:53,3
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 23:10,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 12:20,15
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 14:22,20
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Regular,8/29/2020 20:21,175
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 15:59,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 20:42,20
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 18:55,20
,"Pozhal, Tiruvallur, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Regular,8/25/2020 21:03,535
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/28/2020 13:48,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 16:15,104
,"Pozhal, Tiruvallur, Tamil Nadu","Onnalvadi, Krishnagiri, Tamil Nadu",Regular,8/24/2020 22:54,535
,"Pozhal, Tiruvallur, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Regular,8/21/2020 22:39,535
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",Regular,8/29/2020 14:19,560
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 21:48,103
,"PRAVEEN ENGINEERING INDUSTRIES,HOSUR,TAMIL NADU","SRI DEVI POWDER COATING INDUSTRIES,CHENNAI,TAMIL NADU",Market,8/24/2020 15:33,365
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 5:16,3
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 17:25,21
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 18:25,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 18:27,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 18:33,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 19:11,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 18:53,110
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/23/2020 23:47,940
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 18:47,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 18:51,110
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/29/2020 11:48,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 22:55,61
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/29/2020 0:22,170
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/29/2020 1:19,170
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 17:47,21
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Market,8/29/2020 15:34,310
,"ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",Market,8/29/2020 13:34,365
,"Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Regular,8/28/2020 18:30,400
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 16:12,110
,"Naickenpalayam, Coimbatore, Tamil Nadu","Kamarajnagar, Tiruvallur, Tamil Nadu",Regular,8/28/2020 18:31,530
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 16:11,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/29/2020 15:57,110
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 17:45,69
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/28/2020 17:53,3
